Author,Komentar,Prediksi,Score,Raw_Prob,Metode,Is_Judol
@Claude-dexs,Bang daffa main sama Dongkak,🟢 AMAN,20.7%,0.20733239153453925,Weighted Average,0
@amirahmatsetiawan4476,SETIM AMA JAWA = KALAH,🟢 AMAN,5.2%,0.05222990101668835,Weighted Average,0
@clod-yw2in,Emak gw kagak kenal skylar bg 🗿🧢,🟢 AMAN,10.1%,0.10130552286891119,Weighted Average,0
@PeggiArfi-uz1ce,Akuuuu🎉🎉🎉🎉,🟢 AMAN,11.2%,0.11164191475399432,Weighted Average,0
@RotiFah-v2u,Ling oon bng,🟢 AMAN,14.3%,0.14256600911775083,Weighted Average,0
@rezasaputra8762,"Bye one fanyy sama ku bang,,,bisa menang GG berati",🟢 AMAN,12.2%,0.12219405750384305,Weighted Average,0
@tatisuryati5423,Jago juga fanny nya bang katak bizer ini,🟢 AMAN,13.6%,0.1362049925412495,Weighted Average,0
@nabilf.kofficial856,Farmingnya kayak YSS maju mundur,🟢 AMAN,16.2%,0.16162563899594487,Weighted Average,0
@nabilf.kofficial856,Rokok nya apa bg,🟢 AMAN,9.1%,0.09051310883525227,Weighted Average,0
@SafriNastana,bebas yaa yg jago mah mau gimana juga troll pro player wkwk,🟢 AMAN,13.8%,0.1379720792137297,Weighted Average,0
@pecahchannel6970,Galucu,🟢 AMAN,20.5%,0.20483046722425458,Weighted Average,0
@SambilBerbisik7,Basic,🟢 AMAN,14.6%,0.14557752884682582,Weighted Average,0
@BoydhkRox,"dia ketawa ngakak, gw bingung dimana lucunya",🟢 AMAN,16.1%,0.16136563184080396,Weighted Average,0
@TempeCelup-f4h,Bang daffa cobadong maen sama kairi,🟢 AMAN,26.8%,0.26781838957379717,Weighted Average,0
@reviansyah3281,Kok ga kyk dulu yah fanynya😔,🟢 AMAN,12.7%,0.12721856879311777,Weighted Average,0
@rikoariyaputra,norak bgt,🟢 AMAN,12.9%,0.12908437277179755,Weighted Average,0
@Mahiru-m2c,Kok ganteng lu bang daffa,🟢 AMAN,19.4%,0.19380149592256737,Weighted Average,0
@Mahiru-m2c,Kok ganteng ku bang daffa,🟢 AMAN,16.5%,0.16511519214607565,Weighted Average,0
@TemanRafka2,Siapa yang baru sadar bang daffa mirip katak bizer,🟢 AMAN,15.5%,0.1545915498307715,Weighted Average,0
@edwardrifaldo1675,Bang minimal turtle nya jgn di kacangin trs,🟢 AMAN,17.6%,0.17623498304756985,Weighted Average,0
@k.l.y461,mama ma dolay🗿,🟢 AMAN,16.0%,0.16026645927883085,Weighted Average,0
@HengkiAlenta,Apasiah ngga jls bngt,🟢 AMAN,17.9%,0.17879726336057322,Weighted Average,0
@irwankurniawan7010,Kbykn ngomong,🟢 AMAN,7.1%,0.07109590817925436,Weighted Average,0
@nothingforyou7,Kokop bg,🟢 AMAN,9.8%,0.09794131992234603,Weighted Average,0
@jenentihayulestari5961,Kalo emg mau prank gnti nick pasti lbh seru,🟢 AMAN,13.4%,0.13448486287191327,Weighted Average,0
@DensityBahir,"iseng' liat bang Daffa main fanny, lumayan Fanny gua jdi ga darat ya walaupun masih 1,2,3,4 kabel ULTI 😂 Alhamdulillah aja, dulu mah gatau cara main Hero ny wkkww Hero tersulit 😂",🟢 AMAN,27.3%,0.27282507090835983,Weighted Average,0
@RaymondZheng1,kok lu pucet bgt bang,🟢 AMAN,19.3%,0.1926692417427328,Weighted Average,0
@erwin_riddo,Fanny alergi turtle kek fanny dwi😂,🟢 AMAN,15.4%,0.1535607656593501,Weighted Average,0
